看到		  0.002791
男男女女		  0.002773
谢谢		  0.002772
杠杠		  0.002754
赶紧		  0.002747
想要		  0.002735
绝对		  0.002731
美得		  0.002718
停不下来		  0.002711
反正		  0.002697
玩家		  0.002674
消消		  0.002674
不怎么		  0.002658
